problem,answer
"Bionn ionchur amháin níos mó ag geataí loighce agus bionn aschur amháin acu. Cuir isteach an t-aschur, 0 nó 1, i gColún B le haghaidh gach geata loighce i gColún A.

| Colún A <br> Geata loighce le hionchu(i)r | Colún B <br> Aschur (0 nó 1) |
|---|---|
|  1 <br> 1 |  |
|  0 <br> 1 |  |
| 1 |  |
|  1 <br> 0 |  |
|  0 <br> 0 |  |
|  1 <br> 1 |  |","| Colún A <br> Geata loighce le hionchu(i)r | Colún B <br> Aschur (0 nó 1) |
|---|---|
|  1 <br> 1 | 1 |
|  0 <br> 1 | 0 |
| 1 | 0 |
|  1 <br> 0 | 1 |
|  0 <br> 0 | 0 |
|  1 <br> 1 | 0 |

Gach freagra ceart 1 mharc"
"Cad é an t-aschur a thaispeántar leis an gcód *Python* seo?
```
number = 27
while number < 39:
    print(number, end="" "")
    number = number + 3
```","27 30 33 36

Gach luach ceart in ord (x 4) 1 mharc
Spás idir gach luach 2 mharc"
Sloinn an uimhir dhéachúlach 121 ina huimhir dhénártha 8 ngiotán.,"0111 1001

Ceart lena n-áirítear naid tosaigh 6 mharc
Ceart gan an naid tosaigh 5 mharc
Bain 2 mharc as gach earráid ríofa
Freagra lena ngabhann fiúntas éigin 2 mharc"
"Ceist 9
Is iad an dá riail:
*   Má bhíonn an bhliain inroinnte go cothrom ar 400 is bliain bhisigh í m.sh. Bliain bhisigh í an bhliain 2000
*   Má tá an bhliain inroinnte go cothrom ar 4 agus nach 100 is bliain bhisigh í m.sh. is í 2024 ach ní hiad 2025 agus 2100
I gcás gach riail:
Cur síos an-mhaith – tuiscint shoiléir léirithe
Cur síos measartha – tuiscint theoranta","Cur síos an-mhaith – tuiscint shoiléir léirithe 3 mharc
Cur síos measartha – tuiscint theoranta 2 mharc"
"Ceist 11
(a)
Cuir an t-algartam a thaispeántar sa súdaíocht thíos i bhfeidhm ar an tsraith cruthanna a thaispeántar i bhFíor 4 agus léirigh do fhreagra sna boscaí atá ar fáil.

```
fadhb_réitithe ← BRÉAGACH
LÚB go dtí go bhfuil fadhb_réitithe FÍOR
    cearnóg ← aimsigh an chearnóg is faide ar chlé
    triantán ← aimsigh an triantán is faide ar dheis
    MÁ tá suíomh na cearrlóige NÍOS MÓ NÁ suíomh an triantáin
        fadhb_réitithe ← FÍOR
    SEACHAS SIN
        babhtáil(cearnóg, triantán)
```
I gcás Céim 1 rinne an t-algartam an chearnóg a mhalartú ó shuíomh 0 leis an triantán i suíomh 7.
I gCéim 2 rinne an t-algartam an chearnóg a mhalartú ó shuíomh 4 leis an triantán i suíomh 6.
Fágann sé seo staid deiridh leis na triantáin go léir ar an taobh clé de na cearnóga go léir.
","I gcás gach céime 2 mharc
Freagra leana ngabhann fiúntas éigin 1 mharc"
"Ceist 11
(b)
Cuireann t-algartam cur síos air i gcuid (a) réiteach ginearálta ar fáil ar an bhfadhb a réitíonn sé. Mínigh an bhfuil i gcéist leis an bhfrása ‘réiteach ginearálta’.","Soláthraíonn réiteach ginearálta cur chuige leathan is féidir a chur i bhfeidhm ar chásanna éagsúla
Soláthraíonn réiteach ginearálta an t-ascur ceart i gcónaí, beag beann ar an ionchur
Ní bhraitheann an algartam ar mhéid an ionchuir m.sh. líon na gcearnóg agus na dtriantán.
Míniú an-mhaith – tuiscint shoiléir léirithe 2 mharc
Míniú measartha – tuiscint theoranta 1 mharc"
"Freagair dhá cheist ar bith.
Ceist 13
(a) In 1955, bhí John McCarthy, eolaí ríomhaireachta Meiriceánach, arbh as Co. Chiarraí a athair, ar dhuine de na céad daoine leis an téarma intleacht shaorga (IS) a úsáid. Ó shin i leith, tá téarmaí gaolmhara eile tagtha chun cinn, amhail intleacht shaorga chaoI, intleacht shaorga ghinearálta (AGI i mBéarla) and IS ghiniúnach.
(i) Cad is brí leis an téarma ‘intleacht shaorga’?","*   Is féidir intleacht shaorga a shainmhíniú mar an eolaíocht agus an innealtóireacht a bhaineann le clár chliste ríomhaireachta a dhéanamh a bheidh in ann tascanna a dhéanamh a sIíonn treithe saineolúiseacha an bhreithiúnais, léirmhínithe agus ginearálú a nascadh le hintleachta daonna.
*   Áireadh agus staidéar ar chórais a bhfuil an chumtha orthu go ndéanann siad aithris ar iompar cliste
*   Teoiric agus forbairt na gcóras ríomhaireachta atá in ann tascanna a dhéanamh a éilíonn faisnéis dhaonna de ghnáth, amhail dearcaidh amhairc, aithint cainte, cinnteoireacht agus aistriúchán idir teangacha."
"Freagair dhá cheist ar bith.
Ceist 13
(a) In 1955, bhí John McCarthy, eolaí ríomhaireachta Meiriceánach, arbh as Co. Chiarraí a athair, ar dhuine de na céad daoine leis an téarma intleacht shaorga (IS) a úsáid. Ó shin i leith, tá téarmaí gaolmhara eile tagtha chun cinn, amhail intleacht shaorga chaoI, intleacht shaorga ghinearálta (AGI i mBéarla) and IS ghiniúnach.
(ii) Déan idirdhealú idir IS chaoI agus intleacht shaorga ghinearálta (AGI).","Intleacht Shaorga ChaoI: Tagraíonn sé do chórais IS a tógadh chun tasc amháin a dhéanamh amh gan aon scileanna a fhéidir a aistriú chuig tascanna eile.
*   Tagraíonn Intleacht Shaorga Ghinearálta (AGI as Béarla) do chórais IS ar féidir leo éagsúlacht fadhbanna casta a réiteach go huathrialach i réimsí éagsúla agus foghlaim agus oiriúnú go huathrialach."
"Freagair dhá cheist ar bith.
Ceist 13
(a) In 1955, bhí John McCarthy, eolaí ríomhaireachta Meiriceánach, arbh as Co. Chiarraí a athair, ar dhuine de na céad daoine leis an téarma intleacht shaorga (IS) a úsáid. Ó shin i leith, tá téarmaí gaolmhara eile tagtha chun cinn, amhail intleacht shaorga chaoI, intleacht shaorga ghinearálta (AGI i mBéarla) and IS ghiniúnach.
(iii) Is samplaí iad ChatGPT agus Gemini d’fheidhmchláir IS ghiniúnacha. Mínigh an téarma ‘IS ghiniúnach’.","*   Is teicneolaíocht Faisnéise Saorga (IS) í IS Giniúnach ghineann ábhar nua go huathoibríoch mar fhreagra ar aidéanna agus a chlóscríobh ort a úsáideorí isteach.
*   Ba chóir do IS Giniúna a bheith in úsáid le cáiréís mar ní féidir leis a bheith ceart i gcónaí – “slabhrain” mar a thugtar air an feiniméin seo."
"Freagair dhá cheist ar bith.
Ceist 13
(a) In 1955, bhí John McCarthy, eolaí ríomhaireachta Meiriceánach, arbh as Co. Chiarraí a athair, ar dhuine de na céad daoine leis an téarma intleacht shaorga (IS) a úsáid. Ó shin i leith, tá téarmaí gaolmhara eile tagtha chun cinn, amhail intleacht shaorga chaoI, intleacht shaorga ghinearálta (AGI i mBéarla) and IS ghiniúnach.
(iv) Ainmnigh dhá chineál aschuir a d’fhéadfadh IS ghiniúnach a chur ar fáil.
1.
2.","*   teacs (scríofa í dteanga nádúrtha ar bith)
*   íomhána (m.sh. grianghraif, pictiúir dhigiteacha agus cartúin)
*   físeán
*   ceol
*   cód bogearraí
*   aon fhoirméad réasúnach a d'fhéadfadh IS Ghiniúnach a tháirgeadh
*   I gcás gach formáid a shainaithnítear í gceart"
